DEVICE,X,Y,Z,TimeStamp
Invalid,NaN,NaN,NaN,1653820428
Invalid,NaN,NaN,NaN,1653840950
Invalid,NaN,NaN,NaN,1653844395
Invalid,NaN,NaN,NaN,1653847208
Invalid,NaN,NaN,NaN,1653851997
Invalid,NaN,NaN,NaN,1653862868
Invalid,NaN,NaN,NaN,1696134786
Invalid,NaN,NaN,NaN,1696140016
Invalid,NaN,NaN,NaN,1696145029
Invalid,NaN,NaN,NaN,1696149344
Invalid,NaN,NaN,NaN,1696152295
Invalid,NaN,NaN,NaN,1696155665
Invalid,NaN,NaN,NaN,1696160178
Invalid,NaN,NaN,NaN,1696163297
Invalid,NaN,NaN,NaN,1696166815
Invalid,NaN,NaN,NaN,1696171016
Invalid,NaN,NaN,NaN,1696174325
Invalid,NaN,NaN,NaN,1696177598
Invalid,NaN,NaN,NaN,1696180674
Invalid,NaN,NaN,NaN,1696183706
Invalid,NaN,NaN,NaN,1696187143
Invalid,NaN,NaN,NaN,1696190161
Invalid,NaN,NaN,NaN,1696194275
Invalid,NaN,NaN,NaN,1696197049
Invalid,NaN,NaN,NaN,1696199748
Invalid,NaN,NaN,NaN,1696202168
Invalid,NaN,NaN,NaN,1696204974
Invalid,NaN,NaN,NaN,1696207802
Invalid,NaN,NaN,NaN,1696211278
Invalid,NaN,NaN,NaN,1696214858
Invalid,NaN,NaN,NaN,1696217652
Invalid,NaN,NaN,NaN,1696220173
Invalid,NaN,NaN,NaN,1696222832
Invalid,NaN,NaN,NaN,1696226738
Invalid,NaN,NaN,NaN,1696229837
Invalid,NaN,NaN,NaN,1696232531
Invalid,NaN,NaN,NaN,1696235126
Invalid,NaN,NaN,NaN,1696237780
Invalid,NaN,NaN,NaN,1696240411
Invalid,NaN,NaN,NaN,1696243116
Invalid,NaN,NaN,NaN,1696246416
Invalid,NaN,NaN,NaN,1696249179
Invalid,NaN,NaN,NaN,1696251833
Invalid,NaN,NaN,NaN,1696254464
Invalid,NaN,NaN,NaN,1696257019
Invalid,NaN,NaN,NaN,1696259971
Invalid,NaN,NaN,NaN,1696263085
Invalid,NaN,NaN,NaN,1696266055
Invalid,NaN,NaN,NaN,1696268662
Invalid,NaN,NaN,NaN,1696271662
