DEVICE,X,Y,Z,TimeStamp
Invalid,NaN,NaN,NaN,3296875803
Invalid,NaN,NaN,NaN,3296879510
Invalid,NaN,NaN,NaN,3296884021
Invalid,NaN,NaN,NaN,3296887074
Invalid,NaN,NaN,NaN,3296889710
Invalid,NaN,NaN,NaN,3296892870
Invalid,NaN,NaN,NaN,3296895457
Invalid,NaN,NaN,NaN,3296899128
Invalid,NaN,NaN,NaN,3296902255
Invalid,NaN,NaN,NaN,3296905414
Invalid,NaN,NaN,NaN,3296908186
Invalid,NaN,NaN,NaN,3296911644
Invalid,NaN,NaN,NaN,3296916233
Invalid,NaN,NaN,NaN,3296919570
Invalid,NaN,NaN,NaN,3296922303
Invalid,NaN,NaN,NaN,3296925636
Invalid,NaN,NaN,NaN,3296929009
Invalid,NaN,NaN,NaN,3296932303
Invalid,NaN,NaN,NaN,3296935340
Invalid,NaN,NaN,NaN,3296937986
Invalid,NaN,NaN,NaN,3296940543
Invalid,NaN,NaN,NaN,3296943067
Invalid,NaN,NaN,NaN,3296946486
Invalid,NaN,NaN,NaN,3296949951
Invalid,NaN,NaN,NaN,3296953140
Invalid,NaN,NaN,NaN,3296955808
Invalid,NaN,NaN,NaN,3296958183
Invalid,NaN,NaN,NaN,3296960838
Invalid,NaN,NaN,NaN,3296963508
Invalid,NaN,NaN,NaN,3296965872
Invalid,NaN,NaN,NaN,3296968371
Invalid,NaN,NaN,NaN,3296970815
Invalid,NaN,NaN,NaN,3296973234
Invalid,NaN,NaN,NaN,3296975615
Invalid,NaN,NaN,NaN,3296978557
Invalid,NaN,NaN,NaN,3296982081
Invalid,NaN,NaN,NaN,3296984746
Invalid,NaN,NaN,NaN,3296987125
Invalid,NaN,NaN,NaN,3296989407
Invalid,NaN,NaN,NaN,3296991855
Invalid,NaN,NaN,NaN,3296994717
Invalid,NaN,NaN,NaN,3296997337
Invalid,NaN,NaN,NaN,3296999834
Invalid,NaN,NaN,NaN,3297005309
Invalid,NaN,NaN,NaN,3297007914
Invalid,NaN,NaN,NaN,3297011167
Invalid,NaN,NaN,NaN,3297014093
Invalid,NaN,NaN,NaN,3297016927
Invalid,NaN,NaN,NaN,3297019671
Invalid,NaN,NaN,NaN,3297022096
Invalid,NaN,NaN,NaN,3297024580
Invalid,NaN,NaN,NaN,3297027517
Invalid,NaN,NaN,NaN,3297029986
Invalid,NaN,NaN,NaN,3297032427
Invalid,NaN,NaN,NaN,3297034801
Invalid,NaN,NaN,NaN,3297037489
Invalid,NaN,NaN,NaN,3314790560
Invalid,NaN,NaN,NaN,3325938706
Invalid,NaN,NaN,NaN,3356626405
Invalid,NaN,NaN,NaN,3368514289
Invalid,NaN,NaN,NaN,3397858279
Invalid,NaN,NaN,NaN,3409071007
Invalid,NaN,NaN,NaN,3438509966
Invalid,NaN,NaN,NaN,3449597778
