DEVICE,X,Y,Z,TimeStamp
Invalid,NaN,NaN,NaN,3121930451
Invalid,NaN,NaN,NaN,3121934447
Invalid,NaN,NaN,NaN,3121939443
Invalid,NaN,NaN,NaN,3121947590
Invalid,NaN,NaN,NaN,3121956115
Invalid,NaN,NaN,NaN,3121964472
Invalid,NaN,NaN,NaN,3121972440
Invalid,NaN,NaN,NaN,3121981125
Invalid,NaN,NaN,NaN,3121989505
Invalid,NaN,NaN,NaN,3121997685
Invalid,NaN,NaN,NaN,3122006243
Invalid,NaN,NaN,NaN,3122014433
Invalid,NaN,NaN,NaN,3122022469
Invalid,NaN,NaN,NaN,3122034674
Invalid,NaN,NaN,NaN,3122039652
Invalid,NaN,NaN,NaN,3122047569
Invalid,NaN,NaN,NaN,3122056098
Invalid,NaN,NaN,NaN,3122064292
Invalid,NaN,NaN,NaN,3122072321
Invalid,NaN,NaN,NaN,3122080935
Invalid,NaN,NaN,NaN,3122089176
Invalid,NaN,NaN,NaN,3122096055
Invalid,NaN,NaN,NaN,3122105825
Invalid,NaN,NaN,NaN,3122114045
Invalid,NaN,NaN,NaN,3122122372
Invalid,NaN,NaN,NaN,3122131008
Invalid,NaN,NaN,NaN,3122139384
Invalid,NaN,NaN,NaN,3122147277
Invalid,NaN,NaN,NaN,3122156017
Invalid,NaN,NaN,NaN,3122164182
Invalid,NaN,NaN,NaN,3122172337
Invalid,NaN,NaN,NaN,3122181045
Invalid,NaN,NaN,NaN,3122189436
Invalid,NaN,NaN,NaN,3122197235
Invalid,NaN,NaN,NaN,3122205887
Invalid,NaN,NaN,NaN,3122214280
Invalid,NaN,NaN,NaN,3122222435
Invalid,NaN,NaN,NaN,3122231059
Invalid,NaN,NaN,NaN,3122239115
Invalid,NaN,NaN,NaN,3122246064
Invalid,NaN,NaN,NaN,3122255922
Invalid,NaN,NaN,NaN,3122264135
Invalid,NaN,NaN,NaN,3122272576
Invalid,NaN,NaN,NaN,3122280994
Invalid,NaN,NaN,NaN,3122289286
Invalid,NaN,NaN,NaN,3122297376
Invalid,NaN,NaN,NaN,3122305839
Invalid,NaN,NaN,NaN,3122314289
Invalid,NaN,NaN,NaN,3122322531
Invalid,NaN,NaN,NaN,3122331045
Invalid,NaN,NaN,NaN,3122339284
Invalid,NaN,NaN,NaN,3122347396
Invalid,NaN,NaN,NaN,3122355881
Invalid,NaN,NaN,NaN,3122364495
Invalid,NaN,NaN,NaN,3122372496
Invalid,NaN,NaN,NaN,3122380976
Invalid,NaN,NaN,NaN,3122389044
Invalid,NaN,NaN,NaN,3122397320
Invalid,NaN,NaN,NaN,3122405967
Invalid,NaN,NaN,NaN,3122413118
Invalid,NaN,NaN,NaN,3122421295
Invalid,NaN,NaN,NaN,3122431378
Invalid,NaN,NaN,NaN,3122439753
Invalid,NaN,NaN,NaN,3122447677
Invalid,NaN,NaN,NaN,3122456363
Invalid,NaN,NaN,NaN,3122463217
Invalid,NaN,NaN,NaN,3122472724
Invalid,NaN,NaN,NaN,3122481191
Invalid,NaN,NaN,NaN,3122489458
Invalid,NaN,NaN,NaN,3122497366
Invalid,NaN,NaN,NaN,3122506136
Invalid,NaN,NaN,NaN,3122514291
Invalid,NaN,NaN,NaN,3122522391
Invalid,NaN,NaN,NaN,3122530805
Invalid,NaN,NaN,NaN,3122539278
Invalid,NaN,NaN,NaN,3122547306
Invalid,NaN,NaN,NaN,3122555717
Invalid,NaN,NaN,NaN,3122564145
Invalid,NaN,NaN,NaN,3122572232
Invalid,NaN,NaN,NaN,3122580768
Invalid,NaN,NaN,NaN,3122589158
Invalid,NaN,NaN,NaN,3122597240
Invalid,NaN,NaN,NaN,3122605684
Invalid,NaN,NaN,NaN,3122614402
Invalid,NaN,NaN,NaN,3122622572
Invalid,NaN,NaN,NaN,3122630960
Invalid,NaN,NaN,NaN,3122639175
Invalid,NaN,NaN,NaN,3122647364
Invalid,NaN,NaN,NaN,3122655866
Invalid,NaN,NaN,NaN,3122664122
Invalid,NaN,NaN,NaN,3122672189
Invalid,NaN,NaN,NaN,3122680778
Invalid,NaN,NaN,NaN,3122689194
Invalid,NaN,NaN,NaN,3122697431
Invalid,NaN,NaN,NaN,3122705900
Invalid,NaN,NaN,NaN,3122714054
